Pathway	Symbol
RTK RAS	PIN1
RTK RAS	KSR1
RTK RAS	KSR2
RTK RAS	PEBP1
RTK RAS	ERF
RTK RAS	PEA15
RTK RAS	JAK2
RTK RAS	IRS2
TP53	TP53
TP53	MDM2
TP53	MDM4
TP53	ATM
TP53	CHEK2
TP53	RPS6KA3
WNT	CHD8
WNT	LEF1
WNT	LGR4
WNT	LGR5
WNT	LRP5
WNT	LRP6
WNT	LZTR1
WNT	NDP
WNT	PORCN
WNT	RSPO1
WNT	SFRP1
WNT	SFRP2
WNT	SFRP4
WNT	SFRP5
WNT	SOST
WNT	TCF7L1
WNT	TLE1
WNT	TLE2
WNT	TLE3
WNT	TLE4
WNT	WIF1
WNT	ZNRF3
WNT	CTNNB1
WNT	DVL1
WNT	DVL2
WNT	DVL3
WNT	FRAT1
WNT	FRAT2
WNT	FZD1
WNT	FZD10
WNT	FZD2
WNT	FZD3
WNT	FZD4
WNT	FZD5
WNT	FZD6
WNT	FZD7
WNT	FZD8
WNT	FZD9
WNT	WNT1
WNT	WNT10A
WNT	WNT10B
WNT	WNT11
WNT	WNT16
WNT	WNT2
WNT	WNT3A
WNT	WNT4
WNT	WNT5A
WNT	WNT5B
WNT	WNT6
WNT	WNT7A
WNT	WNT7B
WNT	WNT8A
WNT	WNT8B
WNT	WNT9A
WNT	WNT9B
WNT	AMER1
WNT	APC
WNT	AXIN1
WNT	AXIN2
WNT	DKK1
WNT	DKK2
WNT	DKK3
WNT	DKK4
WNT	GSK3B
WNT	RNF43
WNT	TCF7
WNT	TCF7L2
WNT	CHD4
